word,meaning,source_sentence,target_sentence,input_text,target_text
Cần đốp đóp,Tấm lá dừa nước đã chằm sẵn để lợp nhà,chất hết đống bên bờ kêu là lá cần đốp,xếp thành đống bên bờ gọi là lá lợp nhà,Cần đốp đóp [SEP] Tấm lá dừa nước đã chằm sẵn để lợp nhà [SEP] chất hết đống bên bờ kêu là lá cần đốp,xếp thành đống bên bờ gọi là lá lợp nhà
Bồ tọt,Ếch nhái gầy (chàng hiu),Thân như con bồ tọt mà cũng bày đặt làm phách,Thân gầy như nhái bén mà cũng bày đặt làm phách,Bồ tọt [SEP] Ếch nhái gầy (chàng hiu) [SEP] Thân như con bồ tọt mà cũng bày đặt làm phách,Thân gầy như nhái bén mà cũng bày đặt làm phách
Lái rồi,"Lái buôn, người thu mua nông sản ở quê.","Gặp ba cái lái vườn, ít vốn, nó mới làm ăn lôm côm","Gặp mấy tay buôn vặt, ít vốn, mới làm ăn chộp giật","Lái rồi [SEP] Lái buôn, người thu mua nông sản ở quê. [SEP] Gặp ba cái lái vườn, ít vốn, nó mới làm ăn lôm côm","Gặp mấy tay buôn vặt, ít vốn, mới làm ăn chộp giật"
Bố (2),"Bủa vây Bổ nhào, ngã nhào",Xỉn quá hắn lảo đảo rồi bổ nhào xuống con rạch,Say quá hắn lảo đảo rồi ngã nhào xuống con mương,"Bố (2) [SEP] Bủa vây Bổ nhào, ngã nhào [SEP] Xỉn quá hắn lảo đảo rồi bổ nhào xuống con rạch",Say quá hắn lảo đảo rồi ngã nhào xuống con mương
Sơn Sớn sác,"Bộp chộp, vô ý","Tao học được cái sơn này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái bộp chộp này từ hồi nhỏ, giờ vẫn nhớ.","Sơn Sớn sác [SEP] Bộp chộp, vô ý [SEP] Tao học được cái sơn này từ hồi nhỏ, giờ vẫn nhớ.","Tớ học được cái bộp chộp này từ hồi nhỏ, giờ vẫn nhớ."
Bần dùng,"Chần chừ, do dự","Đi thì đi cho sớm, chớ bần dùng hết ngày hết giờ","Đi thì đi cho sớm, chứ chần chừ hết ngày hết giờ","Bần dùng [SEP] Chần chừ, do dự [SEP] Đi thì đi cho sớm, chớ bần dùng hết ngày hết giờ","Đi thì đi cho sớm, chứ chần chừ hết ngày hết giờ"
Mắp,Bập môi hút (hút thuốc) mấp máy miệng (người móm).,Mắp vài hơi cho nó ấm,Rít/bập vài hơi cho nó ấm,Mắp [SEP] Bập môi hút (hút thuốc) mấp máy miệng (người móm). [SEP] Mắp vài hơi cho nó ấm,Rít/bập vài hơi cho nó ấm
Ngật ngưỡng,"1. Ngất ngưởng, tư thế không vững chắc, lắc lư.2. Tình trạng không bình thường, hơi có vấn đề tâm thần.","Để em ngồi ngật ngưỡng cái kiểu đó, coi chừng té đó nghen hôn.","Để em ngồi ngất ngưởng cái kiểu đó, coi chừng ngã đó nhé.","Ngật ngưỡng [SEP] 1. Ngất ngưởng, tư thế không vững chắc, lắc lư.2. Tình trạng không bình thường, hơi có vấn đề tâm thần. [SEP] Để em ngồi ngật ngưỡng cái kiểu đó, coi chừng té đó nghen hôn.","Để em ngồi ngất ngưởng cái kiểu đó, coi chừng ngã đó nhé."
Văn thơ Văn vũ,Văn thư Văn võ song toàn,Ảnh làm văn thơ ở xã mấy năm nay.,Anh ấy làm văn thư ở xã mấy năm nay.,Văn thơ Văn vũ [SEP] Văn thư Văn võ song toàn [SEP] Ảnh làm văn thơ ở xã mấy năm nay.,Anh ấy làm văn thư ở xã mấy năm nay.
Nạt,"Quát nạt, nói lớn tiếng dọa dẫm.","Có chuyện gì thì nói nhỏ nhỏ, chớ làm gì mà mày nạt nó dữ vậy chớ.","Có chuyện gì thì nói nhỏ nhẹ, chứ làm gì mà mày quát nó dữ vậy chứ.","Nạt [SEP] Quát nạt, nói lớn tiếng dọa dẫm. [SEP] Có chuyện gì thì nói nhỏ nhỏ, chớ làm gì mà mày nạt nó dữ vậy chớ.","Có chuyện gì thì nói nhỏ nhẹ, chứ làm gì mà mày quát nó dữ vậy chứ."
Gài mắm,Làm mắm hoặc bỏ mặc không quan tâm hoặc ngâm hồ sơ,"Cái hồ sơ này anh giải quyết đi, chớ gài mắm hoài sao",Hồ sơ này anh giải quyết đi chứ sao cứ để ngâm mãi thế,"Gài mắm [SEP] Làm mắm hoặc bỏ mặc không quan tâm hoặc ngâm hồ sơ [SEP] Cái hồ sơ này anh giải quyết đi, chớ gài mắm hoài sao",Hồ sơ này anh giải quyết đi chứ sao cứ để ngâm mãi thế
Bù cấn,Trả nợ bằng cách chuyển giao phần nợ cho người khác,"Tôi thiếu anh hai chục, nó thiếu tôi mười lăm Thôi, không có bù cấn lộn xộn lắm","Thanh toán nợ nần trực tiếp cho xong, đừng khấu trừ vòng vo như vậy","Bù cấn [SEP] Trả nợ bằng cách chuyển giao phần nợ cho người khác [SEP] Tôi thiếu anh hai chục, nó thiếu tôi mười lăm Thôi, không có bù cấn lộn xộn lắm","Thanh toán nợ nần trực tiếp cho xong, đừng khấu trừ vòng vo như vậy"
Ba gác,Xe ba gác chở hàng,Chiếc xe ba gác trống trơn được đẩy trở ra,Chiếc xe ba gác trống trơn được đẩy trở ra,Ba gác [SEP] Xe ba gác chở hàng [SEP] Chiếc xe ba gác trống trơn được đẩy trở ra,Chiếc xe ba gác trống trơn được đẩy trở ra
