source_sentence,target_sentence
Con mẹ đó đi đứng vảnh phao câu.,Người đàn bà đó đi đứng vênh mông.
Trời nắng gắt nhìn xuống dòng kinh thấy nước xanh lặc lìa.,Trời nắng gắt nhìn xuống dòng kênh thấy nước xanh trong vắt.
"Ngày còn nhỏ, thấy kem cây là mê hơn kem viên liền.","Khi còn bé, tôi thích ăn kem que hơn kem viên."
Con bất đếm mấy lời dạy bảo của ba mẹ.,Con không thèm nghe lời dạy bảo của bố mẹ.
Làm lễ hỏi đem bánh thuẫn theo có phạm điều gì hông cô?,Mang bánh thuẫn trong lễ hỏi có điều gì cần kiêng tránh không cô?
Đống xoài sau vườn chín rặt một màu vàng ươm nhìn thèm luột lưỡi.,Đống xoài sau vườn chín rặt một màu vàng ươm trông thèm nhỏ dãi.
"Đứng xa ra mà coi, đứng gần họ lỡ đá trúng là ná đó nghen em.","Đứng xa ra mà xem, đứng gần họ lỡ đá trúng là gãy xương/nhừ đòn đó nhé em."
Sợi dây cột lỏng le làm con bò sút ra chạy mất tiêu rồi.,Sợi dây buộc lỏng tuột làm con bò sút ra chạy mất tăm rồi.
Ổng ngồi kể chuyện xưa liên tu bất tận hông chịu nghỉ.,Ông ấy ngồi kể chuyện ngày xưa liên hồi kỳ trận không chịu nghỉ.
Chợ Cầu Muối là nơi quy tụ dân bá nạp từ các tỉnh,Chợ Cầu Muối là nơi quy tụ dân tứ xứ tạp nham từ các tỉnh
Đừng có rọ rạy nó nghe thấy.,Đừng có cựa quậy nó nghe thấy.
"Ông nầy chích khéo, coi chừng muỗi chích á nghen, nó chích trái bầu cũng eo","Ông này tiêm khéo, cẩn thận muỗi đốt đấy nhé, con ong đốt quả bầu cũng làm nó héo quắt"
"Mầy nói nặng lời quá trời, nó giận mầy cũng đúng thôi.",Bạn đã nói quá lời nên việc nó giận là điều bình thường.
Hồi xưa dưới quê ai có xuồng gắn máy là oách dữ lắm.,"Ngày trước ở nông thôn, ai sở hữu thuyền máy đều rất nổi bật."
"Chuyện cất giá ẩu tả ngày Tết nghe thì lạ mà thiệt đó mậy, tao chứng kiến tận mắt luôn nghe hôn bồ.","Chuyện đẩy giá lên cao bừa bãi ngày Tết nghe thì lạ mà thật đó bạn, tôi chứng kiến tận mắt luôn nghe chưa bạn."
Có chồng rồi mà lúc nào cũng nhảy nhót nhí nhảnh y như con nít.,Có chồng rồi mà lúc nào cũng nhảy nhót tưng tửng như trẻ con.
Có cẩn xa cừ công phu nên cái tủ mắc tiền dữ.,Do được khảm trai tinh xảo nên chiếc tủ có giá cao.
"Bà nội thích tém tóc cao, ngó bắt mắt hết trơn.",Bà thích búi tóc cao nên trông rất nổi bật.
"Đừng hỗn, ăn đòn đau lắm đó nhen.","Đừng hỗn, ăn đòn đau lắm đấy nhé."
"Nấu chè bột báng, bột khoai vầy tui thích lắm, mua mau đi.","Nấu chè trân châu, bột khoai thế này tôi thích lắm, mua nhanh đi."
Ăn mấy thứ rau cải này bụng dạ nhẹ nhàng lắm nghen.,Ăn các loại rau cải này rất tốt cho hoạt động tiêu hóa.
Thèm món ếch xào lá cách nước cốt dừa béo ngậy quá đi.,Thèm món thịt ếch xào cùng lá cách và nước cốt dừa béo ngậy quá đi.
"Đày đây mấy chục năm trời bả ở vậy nuôi con, chờ chồng","Đằng đẵng mấy chục năm trời bà ấy ở vậy nuôi con, chờ chồng"
Chiều nào mấy bà trong xóm cũng tụm năm tụm ba đòi tiền hụi om sòm.,Chiều nào các bà trong xóm cũng tụ tập đòi tiền họ rất ồn ào.
Đi hớt cái đầu nhìn trọc chát luôn.,Đi cắt cái đầu trông trọc lóc luôn.
Gia đình mình nghèo chứ có phải gia đình công tử đâu mà ăn hoang quá vậy,Gia đình mình nghèo chứ có phải công tử đâu mà tiêu xài phung phí quá vậy
Bậc thềm trơn làm nó tẻ một cái ạch,Bậc thềm trơn làm nó tẻ một cái ạch
"Nói chuyện với bạn bè nhẹ nhàng chút coi, đừng cự nự quá.",Khi trò chuyện với bạn bè nên nói năng ôn hòa hơn.
"Con thuyền gỗ đã cũ, va vô đá ngầm là be bể liền à.","Chiếc thuyền gỗ đã cũ, va vào đá ngầm là vỡ nát ngay à."
Nó bị té xe xong cái cổ cứ ngoẻo qua một bên.,Nó bị ngã xe xong cái cổ cứ nghẹo qua một bên.
"Hễ gặp là nó kể chuyện xe ben, tao nghe muốn nhớ luôn đó.",Mỗi lần gặp nó đều nói về xe tải ben nên tôi đã quá quen thuộc.
để đầu tóc bùm sùm vậy coi sao được,"Hàng rào cây cối um tùm quá, cần phải tỉa tót lại cho gọn"
Cái xe lộc xộc này mà đi xa,Cái xe tã này mà đi xa
Đụng trúng thằng lười thấy mồ đó coi như mệt rồi.,Gặp người quá lười biếng như vậy thật phiền phức.
Nhắc tới chè thôi là tao ngán tới óc rồi.,Chỉ cần nhắc đến chè là tôi đã thấy rất ngán.
"Chú Bảy hay nhắc chuyện quất mãi, nghe riết phát chán.","Chú Bảy hay nói tới chuyện quất mãi, tớ quen tai rồi."
Món đồn đột này mắc tiền thiệt đó.,Món hải sâm này đắt tiền thật đấy.
Hổng còn một ten dính túi lấy gì chơi.,Không còn một đồng lẻ dính túi lấy gì chơi.
"Mèn đét ơi, trời mưa tấp vô hiên nhà người ta ráo trọi hết trơn, dòm trớt quớt hết sức.","Trời đất ơi, trời mưa ghé vào nhanh hiên nhà người ta toàn bộ hết cả, nhìn chán ngắt hết sức."
"Mèn đét ơi, thằng nhỏ ăn chành chạch từ sáng tới tối, hèn chi dòm nó mập thù lù hết trơn.","Trời đất ơi, đứa bé ăn liên miên từ sáng đến tối, hèn chi nhìn nó béo phì hết cả."
"Xếp bao giàn hết mọi việc, thành thử cấp dưới không làm gì","Sếp ôm trọn hết mọi việc, thành thử cấp dưới không làm gì"
"Sáng sớm ra mà ồn ào quá, tui đau đầu thiệt.","Sáng sớm ra mà ồn ào quá, tôi đau đầu thật."
"Anh Ba hay nói tới chuyện rề rề hoài, tao quen tai rồi.","Anh Ba hay nói tới chuyện kéo dài mãi, tớ quen tai rồi."
"Đồ ăn hết xam xảm vầy mà tụi nhỏ vẫn đòi thêm, lạ thiệt.","Đồ ăn hết thức ăn lơ lớ thế này mà bọn nhỏ vẫn đòi thêm, lạ thật."
Mày tới đầu hẻm thì nhá máy một cái để tao chạy xe ra rước vô.,Cậu tới đầu ngõ thì nháy máy điện thoại một cái để tôi lái xe ra đón vào.
"Đài cát-xét giờ rẻ rề, mua đi.",Máy cát xét bây giờ rẻ bèo.
Xoi cái lỗ lù cho nước chảy xuống đây,Khoét cái lỗ thoát nước cho nước chảy xuống đây
"Bồ rầy nó hay đeo đầy cây đào lộn hột, nhìn thấy mà muốn xỉu.","Bọ rùa cứ bám đầy cây hạt điều, nhìn thấy mà phát hoảng."
"Ở dưới quê xứ tui đa phần là người ta cất nhà chữ đinh không hà mậy, dòm cổ kính thiệt.","Ở dưới quê vùng tôi đa phần là người ta xây kiểu kiến trúc nhà truyền thống của người Việt không thôi bạn, nhìn cổ kính thật."
Chiếc áo bông hường cũng khuất dạng sau mấy lùm tre,Chiếc áo hoa hồng cũng khuất dạng sau mấy lùm tre
"Thiệt tình cái đám giỗ hôm qua mậy ơi, người ta đãi ăn mệt xỉu luôn á.","Thật sự cái đám giỗ hôm qua bạn ơi, người ta đãi ăn ngập mặt đến no ứ hự luôn đấy."
"Con nít cái tánh vốn dĩ ham vui, đừng trách nó.","Trẻ con tính vốn dĩ ham vui, đừng trách nó."
"Ổi này còn non xèo hà, cắn vô chát quéo lưỡi luôn.",Quả ổi này còn quá non nên ăn vào rất chát.
"Vụ làm ăn đợt rồi bể mánh, ổng thua lật gọng cắm sổ đỏ luôn.","Vụ làm ăn đợt rồi vỡ lở, ông ấy thua thảm hại cắm cả sổ đỏ luôn."
"Chú Ba giải thích cho tụi nhỏ nghe về xà mâu, tụi nhỏ gật gù.","Chú Ba giải thích cho bọn nhỏ nghe về ghẻ lở hoặc cau có, bọn nhỏ gật gù."
Đứng bên bờ sông ngóng bả mút mắt mà chưa thấy ghe về.,Đứng bên bờ sông ngóng bà ấy mỏi cả mắt mà chưa thấy thuyền về.
